seqnames	start	end	width	strand	Conc	Conc_DOX	Conc_none	Fold	p.value	FDR	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol	ENTREZID
chr3	175267611	175270771	3161	*	6.95	7.39	6.31	1.08	0.000534	0.016	5080	ENSG00000226779	175234861	175271096	-	inside	3485	325	NearestLocation	NA	NA
chr22	19431759	19432613	855	*	6.35	6.87	5.53	1.34	0.000539	0.0161	3430	ENSG00000185608	19431902	19436075	+	overlapStart	-143	143	NearestLocation	MRPL40	64976
chr7	38274276	38275499	1224	*	5.32	5.95	4.17	1.78	0.000542	0.0162	8452	ENSG00000211691	38273587	38273647	-	upstream	-629	629	NearestLocation	NA	NA
chr7	40352480	40353223	744	*	3.98	4.91	0.48	4.43	0.000545	0.0162	8564	ENSG00000203446	40538127	40546928	-	downstream	194448	184904	NearestLocation	NA	NA
chr3	111869190	111870900	1711	*	5.9	6.45	5.01	1.45	0.000553	0.0164	3940	ENSG00000144827	111979010	111993363	+	upstream	-109820	108110	NearestLocation	ABHD10	55347
chr3	170744236	170747810	3575	*	7.72	8.12	7.14	0.98	0.000563	0.0166	4434	ENSG00000239739	170740351	170741365	-	upstream	-2871	2871	NearestLocation	NA	NA
chr22	22958657	22960555	1899	*	3.86	4.8	0.37	4.43	0.000578	0.017	3441	ENSG00000237472	22988263	22988581	+	upstream	-29606	27708	NearestLocation	NA	NA
chr6	51426945	51427916	972	*	4.5	5.34	2.19	3.16	0.000646	0.019	7523	ENSG00000232702	51410081	51410537	-	upstream	-16408	16408	NearestLocation	NA	NA
chrUn_KI270751v1	123520	124987	1468	*	5.84	6.42	4.88	1.53	0.000658	0.0193	9638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	66568925	66569930	1006	*	5.37	5.97	4.3	1.67	0.000694	0.0203	2677	ENSG00000232046	66574030	66730157	+	upstream	-5105	4100	NearestLocation	LINC01798	100507073
chr6	47188776	47190476	1701	*	6.29	6.8	5.49	1.31	0.000726	0.0211	7295	ENSG00000146072	47231532	47309905	-	downstream	121129	41056	NearestLocation	TNFRSF21	27242
chr3	176469143	176470786	1644	*	5.88	6.43	4.98	1.45	0.000728	0.0211	5223	ENSG00000223715	176604143	176635532	-	downstream	166389	133357	NearestLocation	NA	NA
chr7	30320989	30323098	2110	*	6.51	7.05	5.62	1.43	0.000785	0.0227	7976	ENSG00000207771	30289794	30289890	+	downstream	31195	31099	NearestLocation	MIR550A1	693133
chr7	155858064	155858994	931	*	5.84	6.42	4.85	1.57	0.000806	0.0233	9155	ENSG00000221113	155871891	155872007	+	upstream	-13827	12897	NearestLocation	NA	NA
chr5	145926476	145927226	751	*	4.07	4.98	1.05	3.92	0.000821	0.0236	6554	ENSG00000156463	145936579	146081791	+	upstream	-10103	9353	NearestLocation	SH3RF2	153769
chr3	169417427	169418622	1196	*	5	5.83	2.85	2.98	0.00084	0.0241	4343	ENSG00000241479	169447867	169477052	+	upstream	-30440	29245	NearestLocation	MECOM-AS1	105374205
chr9	114770247	114771316	1070	*	5.75	6.29	4.87	1.42	0.000842	0.0241	9448	ENSG00000263546	114774319	114774407	-	downstream	4160	3003	NearestLocation	NA	NA
chr3	185936749	185937496	748	*	6.72	7.67	2.93	4.74	0.000915	0.026	5837	ENSG00000136527	185915906	185938136	-	inside	1387	640	NearestLocation	TRA2B	6434
chr2	177242643	177243461	819	*	5.18	5.81	4.03	1.79	0.000916	0.026	3085	ENSG00000265396	177255945	177256010	-	downstream	13367	12484	NearestLocation	MIR3128	100422824
chr3	175415656	175416249	594	*	3.66	4.61	-0.16	4.77	0.000923	0.0261	5095	ENSG00000199792	175397247	175397348	-	upstream	-18308	18308	NearestLocation	NA	NA
chrUn_KI270438v1	111244	112447	1204	*	8.4	8.74	7.94	0.8	0.000927	0.0262	9585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	178600103	178602190	2088	*	6.01	6.53	5.17	1.36	0.000957	0.0269	5506	ENSG00000271131	178493327	178493810	-	upstream	-106293	106293	NearestLocation	NA	NA
chr1	77986153	77986937	785	*	4.72	5.48	3.01	2.47	0.00103	0.0289	688	ENSG00000137960	77979542	78138449	+	inside	6611	6611	NearestLocation	GIPC2	54810
chr3	180541157	180542230	1074	*	4.67	5.51	2.39	3.12	0.00108	0.0301	5650	ENSG00000201810	180542701	180542836	+	upstream	-1544	471	NearestLocation	NA	NA
chr3	178925886	178926573	688	*	3.62	4.56	-0.16	4.72	0.00109	0.0305	5562	ENSG00000237978	178526505	178860405	-	upstream	-65481	65481	NearestLocation	NA	NA
chr9	111542201	111543439	1239	*	5.66	6.21	4.77	1.45	0.0011	0.0305	9437	ENSG00000173258	111525159	111577844	+	inside	17042	17042	NearestLocation	ZNF483	158399
chrX	136879816	136880780	965	*	5.99	6.92	2.68	4.24	0.00115	0.0319	9658	ENSG00000147274	136848004	136880764	-	overlapStart	948	16	NearestLocation	RBMX	27316
chr3	150546832	150547435	604	*	5.45	6.1	4.27	1.83	0.00117	0.0324	4270	ENSG00000144895	150546678	150584242	+	inside	154	154	NearestLocation	EIF2A	83939
chr7	34965983	34966589	607	*	3.64	4.58	-0.16	4.74	0.00123	0.0338	8265	ENSG00000221669	34940760	34940834	-	upstream	-25149	25149	NearestLocation	MIR548N	100302152
chr15	87249366	87249953	588	*	7.12	7.53	6.55	0.98	0.00123	0.0338	2214	ENSG00000259761	87042054	87047161	+	downstream	207312	202205	NearestLocation	NA	NA
chr3	187659225	187659841	617	*	4.81	5.59	2.97	2.63	0.00123	0.0338	5918	ENSG00000157005	187668906	187670399	-	downstream	11174	9065	NearestLocation	SST	6750
chr11	49095493	49096208	716	*	7.21	7.61	6.67	0.94	0.00123	0.0338	1612	ENSG00000255452	49092404	49092767	+	downstream	3089	2726	NearestLocation	NA	NA
chr8	71047335	71048384	1050	*	5.81	6.35	4.95	1.4	0.00125	0.0342	9271	ENSG00000254031	71155457	71204223	+	upstream	-108122	107073	NearestLocation	NA	NA
chr7	55073319	55074475	1157	*	6.04	6.56	5.22	1.34	0.00127	0.0346	8831	ENSG00000146648	55019021	55256620	+	inside	54298	54298	NearestLocation	EGFR	1956
chr7	94019581	94021027	1447	*	4.43	5.3	1.87	3.43	0.00134	0.0363	8908	ENSG00000236453	94022833	94066661	+	upstream	-3252	1806	NearestLocation	NA	NA
chr7	94157823	94158754	932	*	4.68	5.43	3.01	2.42	0.00141	0.0383	8935	ENSG00000236938	94071759	94077157	-	upstream	-80666	80666	NearestLocation	NA	NA
chr5	35203056	35204487	1432	*	5.62	6.21	4.57	1.64	0.00147	0.0397	6253	ENSG00000113494	35048756	35230589	-	inside	27533	26102	NearestLocation	PRLR	5618
chr6	11687303	11690073	2771	*	7.23	7.7	6.54	1.16	0.00151	0.0406	6870	ENSG00000207419	11709819	11709960	+	upstream	-22516	19746	NearestLocation	NA	NA
chr7	87725210	87725826	617	*	4.53	5.36	2.42	2.94	0.00155	0.0415	8862	ENSG00000085563	87503633	87713323	-	upstream	-11887	11887	NearestLocation	ABCB1	5243
chr1	244862515	244863418	904	*	6.34	7.27	2.93	4.35	0.00159	0.0424	1242	ENSG00000153187	244851166	244864542	-	inside	2027	1124	NearestLocation	HNRNPU	3192
chr2	75099730	75100689	960	*	6.28	6.78	5.53	1.24	0.00159	0.0425	2721	ENSG00000263909	75090812	75090914	+	downstream	8918	8816	NearestLocation	MIR5000	100846995
chr3	175067359	175068519	1161	*	4.37	5.23	1.87	3.36	0.0016	0.0427	5056	ENSG00000230497	175059361	175060031	-	upstream	-7328	7328	NearestLocation	NA	NA
chr3	173727225	173729070	1846	*	6.2	6.66	5.5	1.16	0.00168	0.0445	4854	ENSG00000237645	173644231	173644711	+	downstream	82994	82514	NearestLocation	NA	NA
chr7	36865083	36866284	1202	*	5.27	5.97	3.9	2.06	0.00168	0.0445	8355	ENSG00000230831	36838972	36841373	+	downstream	26111	23710	NearestLocation	NA	NA
chr1	60897775	60899894	2120	*	6.13	6.63	5.36	1.28	0.00169	0.0446	337	ENSG00000162599	60865259	61462793	+	inside	32516	32516	NearestLocation	NFIA	4774
chr3	182345372	182346691	1320	*	4.64	5.5	2.27	3.22	0.00173	0.0455	5763	ENSG00000242012	182365147	182368256	+	upstream	-19775	18456	NearestLocation	NA	NA
chr3	169490319	169491451	1133	*	5.39	5.96	4.42	1.54	0.00175	0.046	4357	ENSG00000213178	169483671	169484080	-	upstream	-6239	6239	NearestLocation	NA	NA
chr4	441634	443899	2266	*	7.05	7.44	6.51	0.93	0.00176	0.046	6044	ENSG00000252150	467528	467636	-	downstream	26002	23629	NearestLocation	NA	NA
chr3	69770638	69772087	1450	*	5.96	6.52	5.03	1.49	0.00177	0.0462	3684	ENSG00000241665	69769487	69769773	-	upstream	-865	865	NearestLocation	NA	NA
chr3	186786894	186790965	4072	*	8.44	8.77	8.03	0.74	0.00177	0.0462	5863	ENSG00000200320	186787300	186787431	+	includeFeature	-406	406	NearestLocation	SNORA63	6043
chr3	175513637	175515194	1558	*	5.96	6.46	5.19	1.26	0.00183	0.0474	5111	ENSG00000201648	175609479	175609613	+	upstream	-95842	94285	NearestLocation	NA	NA
chr17	83051212	83051720	509	*	5.16	5.82	3.9	1.91	0.00183	0.0474	2340	ENSG00000175711	82942155	83051810	-	inside	598	90	NearestLocation	B3GNTL1	146712
chr8	69735127	69735833	707	*	4.23	5.06	2.03	3.04	0.00185	0.0478	9255	ENSG00000254557	69713390	69719722	+	downstream	21737	15405	NearestLocation	NA	NA
chr10	88852384	88853232	849	*	5.57	6.14	4.59	1.55	0.00191	0.0491	1451	ENSG00000152766	88822132	88851818	-	upstream	-566	566	NearestLocation	ANKRD22	118932
chr3	182342249	182344203	1955	*	5.65	6.38	4.14	2.24	0.00191	0.0491	5762	ENSG00000242012	182365147	182368256	+	upstream	-22898	20944	NearestLocation	NA	NA
chr3	173135301	173138350	3050	*	7.35	7.79	6.71	1.08	0.00192	0.0493	4753	ENSG00000144962	172889358	173141268	-	inside	5967	2918	NearestLocation	SPATA16	83893
chr8	65926993	65928292	1300	*	5.23	5.83	4.19	1.64	0.00193	0.0493	9198	ENSG00000272192	65842752	65843331	+	downstream	84241	83662	NearestLocation	NA	NA
chr3	177026917	177028102	1186	*	5.69	6.23	4.8	1.44	0.00196	0.0499	5298	ENSG00000231310	177037405	177047923	+	upstream	-10488	9303	NearestLocation	NA	NA
chr15	94245741	94246478	738	*	7.02	7.44	6.42	1.02	0.00196	0.0499	2247	ENSG00000140563	94231538	94483952	+	inside	14203	14203	NearestLocation	MCTP2	55784
chr3	107371128	107372470	1343	*	5.12	5.77	3.89	1.88	0.00198	0.0502	3835	ENSG00000138483	107377194	107378637	+	upstream	-6066	4724	NearestLocation	CCDC54	84692
chr3	169401791	169403218	1428	*	5.17	5.79	4.04	1.75	0.00199	0.0502	4342	ENSG00000241479	169447867	169477052	+	upstream	-46076	44649	NearestLocation	MECOM-AS1	105374205
chr3	173367905	173370268	2364	*	6.38	6.84	5.69	1.16	0.002	0.0505	4794	ENSG00000169760	173396284	174286644	+	upstream	-28379	26016	NearestLocation	NLGN1	22871
chr1	85611290	85612551	1262	*	5.81	6.44	4.67	1.77	0.00201	0.0506	825	ENSG00000230285	85599131	85600734	+	downstream	12159	10556	NearestLocation	NA	NA
chr9	115213462	115215383	1922	*	6.29	6.75	5.6	1.15	0.00205	0.0514	9467	ENSG00000234692	115252538	115254251	-	downstream	40789	37155	NearestLocation	NA	NA
chr3	172852494	172854882	2389	*	6.63	7.12	5.88	1.24	0.00212	0.0531	4704	ENSG00000237501	172830981	172831229	-	upstream	-21265	21265	NearestLocation	NA	NA
chr3	173826018	173828078	2061	*	6.61	7.12	5.83	1.28	0.00219	0.0546	4865	ENSG00000228213	173910498	173920796	-	downstream	94778	82420	NearestLocation	NLGN1-AS1	100874010
chr3	174123238	174126359	3122	*	7.24	7.62	6.74	0.88	0.0022	0.0548	4915	ENSG00000252982	174057641	174057864	+	downstream	65597	65374	NearestLocation	NA	NA
chr6	47726659	47729019	2361	*	6.46	6.9	5.83	1.06	0.00223	0.0553	7347	ENSG00000252711	47715283	47715601	+	downstream	11376	11058	NearestLocation	NA	NA
chr2	79511151	79512203	1053	*	6.05	6.59	5.19	1.39	0.00224	0.0554	2884	ENSG00000229385	79493716	79500844	-	upstream	-10307	10307	NearestLocation	NA	NA
chr7	42987805	42988910	1106	*	5.36	5.94	4.37	1.58	0.00228	0.0563	8787	ENSG00000106588	42916857	42932223	-	upstream	-55582	55582	NearestLocation	PSMA2	5683
chr1	72828339	72829003	665	*	3.99	4.87	1.31	3.57	0.00233	0.0574	643	ENSG00000227016	72765031	72780291	+	downstream	63308	48048	NearestLocation	NA	NA
chr3	176639645	176640384	740	*	4.35	5.2	2.02	3.19	0.00233	0.0574	5254	ENSG00000223715	176604143	176635532	-	upstream	-4113	4113	NearestLocation	NA	NA
chr14	19872942	19873460	519	*	5.13	5.73	4.08	1.65	0.00246	0.0603	1977	ENSG00000165762	19876232	19877309	+	upstream	-3290	2772	NearestLocation	OR4K2	390431
chr22	16480741	16481388	648	*	4.08	4.95	1.52	3.43	0.00249	0.0609	3390	ENSG00000227367	16428947	16476870	-	upstream	-3871	3871	NearestLocation	NA	NA
chr4	72711	74903	2193	*	6.5	7.01	5.7	1.3	0.0025	0.061	6036	ENSG00000207643	65125	65233	+	downstream	7586	7478	NearestLocation	NA	NA
chr7	54994947	54996045	1099	*	6.04	6.51	5.34	1.17	0.00251	0.061	8829	ENSG00000146648	55019021	55256620	+	upstream	-24074	22976	NearestLocation	EGFR	1956
chr21	31676831	31679175	2345	*	7.29	7.68	6.75	0.93	0.00252	0.0611	3306	ENSG00000273271	31666728	31667247	-	upstream	-9584	9584	NearestLocation	NA	NA
chr7	34583141	34584636	1496	*	5.39	5.97	4.39	1.59	0.00254	0.0615	8234	ENSG00000187258	34658239	34878332	+	upstream	-75098	73603	NearestLocation	NPSR1	387129
chr1	152034765	152035911	1147	*	6.41	6.9	5.68	1.22	0.00255	0.0615	1126	ENSG00000163191	152032506	152047907	-	inside	13142	2259	NearestLocation	S100A11	6282
chr2	133780319	133781621	1303	*	5.2	5.86	3.95	1.91	0.00255	0.0615	3044	ENSG00000200708	133596091	133596399	+	downstream	184228	183920	NearestLocation	NA	NA
chr1	113413661	113414441	781	*	3.71	4.61	0.75	3.86	0.00256	0.0615	892	ENSG00000081026	113390749	113685923	+	inside	22912	22912	NearestLocation	MAGI3	260425
chr6	12594699	12596098	1400	*	6.17	6.63	5.49	1.14	0.00265	0.0636	6882	ENSG00000234015	12582915	12585404	-	upstream	-9295	9295	NearestLocation	LINC02530	101928309
chr2	75613644	75615420	1777	*	6.97	7.39	6.38	1.02	0.00266	0.0637	2778	ENSG00000221638	75627950	75628168	+	upstream	-14306	12530	NearestLocation	NA	NA
chr5	82404493	82407300	2808	*	7.52	7.87	7.07	0.8	0.00274	0.0654	6333	ENSG00000205464	82279462	82386977	+	downstream	125031	17516	NearestLocation	ATP6AP1L	92270
chr6	45744713	45746015	1303	*	5.46	6.15	4.06	2.09	0.00276	0.0655	7111	ENSG00000261080	45573346	45576770	-	upstream	-167943	167943	NearestLocation	NA	NA
chr17	60072497	60073259	763	*	5.97	6.57	4.93	1.64	0.00276	0.0655	2312	ENSG00000068097	60043194	60078931	-	inside	6434	5672	NearestLocation	HEATR6	63897
chr6	18426583	18429274	2692	*	6.43	6.87	5.8	1.07	0.00279	0.0659	6910	ENSG00000137393	18387350	18468874	+	inside	39233	39233	NearestLocation	RNF144B	255488
chr15	43666113	43667061	949	*	6.18	6.68	5.4	1.28	0.00279	0.0659	2119	ENSG00000166762	43628503	43668118	-	inside	2005	1057	NearestLocation	CATSPER2	117155
chr21	35839066	35839759	694	*	3.41	4.34	-0.16	4.5	0.0028	0.0659	3339	ENSG00000234008	35887195	35887807	+	upstream	-48129	47436	NearestLocation	NA	NA
chr14	81399891	81402241	2351	*	5.15	5.94	3.26	2.68	0.00281	0.0661	2017	ENSG00000258605	81412970	81413239	+	upstream	-13079	10729	NearestLocation	NA	NA
chr3	178813824	178814421	598	*	4.06	4.93	1.52	3.41	0.00283	0.0663	5546	ENSG00000237978	178526505	178860405	-	inside	46581	45984	NearestLocation	NA	NA
chr1	51695287	51697215	1929	*	5.88	6.4	5.08	1.32	0.00283	0.0663	115	ENSG00000236973	51707138	51708137	-	downstream	12850	9923	NearestLocation	NA	NA
chr16	70523682	70524338	657	*	5.17	5.86	3.81	2.05	0.00292	0.0681	2289	ENSG00000189091	70523788	70577670	+	overlapStart	-106	106	NearestLocation	SF3B3	23450
chr3	197950103	197950861	759	*	6.52	7.45	3.13	4.32	0.00298	0.0693	6025	ENSG00000182899	197949987	197956610	+	inside	116	116	NearestLocation	RPL35A	6165
chr6	52477705	52479841	2137	*	6.14	6.62	5.42	1.2	0.00313	0.0727	7613	ENSG00000096093	52420308	52495785	+	inside	57397	15944	NearestLocation	EFHC1	114327
chr6	53703533	53704344	812	*	4.85	5.59	3.25	2.34	0.00319	0.0739	7694	ENSG00000124743	53647901	53665708	-	upstream	-37825	37825	NearestLocation	KLHL31	401265
chr21	38147656	38148739	1084	*	4.78	5.56	2.95	2.61	0.0032	0.074	3351	ENSG00000157551	38157034	38307357	+	upstream	-9378	8295	NearestLocation	KCNJ15	3772
chr7	31584958	31586842	1885	*	5.22	5.82	4.16	1.65	0.00321	0.0741	8018	ENSG00000180347	31514071	31658720	+	inside	70887	70887	NearestLocation	ITPRID1	223075
chrUn_KI270538v1	86882	90050	3169	*	7.15	7.65	6.38	1.27	0.00323	0.0743	9595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6	9250775	9251495	721	*	5.19	5.81	4.08	1.73	0.00326	0.0748	6782	ENSG00000225775	9124221	9161777	-	upstream	-88998	88998	NearestLocation	NA	NA
chr3	175150669	175151670	1002	*	6.24	6.8	5.3	1.5	0.00332	0.0759	5070	ENSG00000230292	175079307	175115242	-	upstream	-35427	35427	NearestLocation	NAALADL2-AS3	100862679
chr15	65900690	65902313	1624	*	4.84	5.64	2.85	2.79	0.00332	0.0759	2133	ENSG00000252715	65843484	65843558	+	downstream	57206	57132	NearestLocation	NA	NA
chr6	44920764	44921546	783	*	4.79	5.53	3.19	2.35	0.00334	0.0762	7075	ENSG00000270900	44898711	44899295	+	downstream	22053	21469	NearestLocation	NA	NA
chr6	9985847	9989210	3364	*	6.93	7.36	6.32	1.05	0.00338	0.0767	6846	ENSG00000216368	10118452	10119253	+	upstream	-132605	129242	NearestLocation	NA	NA
chr7	33200839	33202065	1227	*	5.39	6	4.31	1.69	0.00347	0.0786	8092	ENSG00000222741	33177740	33177838	+	downstream	23099	23001	NearestLocation	NA	NA
chr3	143828138	143829452	1315	*	5.22	5.82	4.16	1.66	0.00347	0.0786	4264	ENSG00000181804	143265222	143848531	-	inside	20393	19079	NearestLocation	SLC9A9	285195
chr2	232549773	232550407	635	*	5.17	5.93	3.49	2.44	0.00354	0.0795	3117	ENSG00000135930	232550052	232583644	+	overlapStart	-279	279	NearestLocation	EIF4E2	9470
chr7	92740248	92741002	755	*	4.99	5.62	3.85	1.77	0.00354	0.0795	8888	ENSG00000206763	92701708	92701814	-	upstream	-38434	38434	NearestLocation	NA	NA
chr3	181024466	181025348	883	*	3.43	4.34	0.37	3.97	0.00354	0.0795	5671	ENSG00000205981	180983709	180989774	-	upstream	-34692	34692	NearestLocation	DNAJC19	131118
chr4	57344317	57345428	1112	*	5.38	5.95	4.41	1.54	0.00356	0.0798	6123	ENSG00000243920	57352999	57353329	-	downstream	9012	7571	NearestLocation	NA	NA
chr1	121309471	121310156	686	*	3.69	4.58	0.92	3.66	0.00357	0.0798	972	ENSG00000275129	121314947	121315055	-	downstream	5584	4791	NearestLocation	NA	NA
chr5	159132094	159133723	1630	*	5.89	6.46	4.91	1.55	0.00362	0.0809	6606	ENSG00000279204	159106380	159108617	+	downstream	25714	23477	NearestLocation	NA	NA
chrUn_KI270589v1	14742	15446	705	*	3.43	4.37	-0.16	4.53	0.00364	0.081	9597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	115266805	115268094	1290	*	4.16	5.04	1.53	3.51	0.00366	0.0811	4073	ENSG00000244157	115279125	115279860	+	upstream	-12320	11031	NearestLocation	NA	NA
chr3	176347595	176348344	750	*	5.19	5.91	3.66	2.25	0.00366	0.0811	5210	ENSG00000238026	176113702	176114537	-	upstream	-233058	233058	NearestLocation	NA	NA
chr2	75591671	75593699	2029	*	6.95	7.44	6.21	1.24	0.00369	0.0815	2775	ENSG00000230477	75598071	75598559	+	upstream	-6400	4372	NearestLocation	NA	NA
chr3	171757286	171760019	2734	*	7.03	7.51	6.3	1.22	0.00371	0.0819	4592	ENSG00000075651	171600405	171810950	-	inside	53664	50931	NearestLocation	PLD1	5337
chr3	177784424	177791486	7063	*	8.33	8.67	7.88	0.79	0.00373	0.0821	5366	ENSG00000231574	177816865	177899224	+	upstream	-32441	25379	NearestLocation	LINC02015	102724550
chr4	128226056	128227057	1002	*	5.03	5.71	3.74	1.97	0.00374	0.0821	6149	ENSG00000164040	128269237	128288829	-	downstream	62773	42180	NearestLocation	PGRMC2	10424
chr6	9834469	9838656	4188	*	7.28	7.71	6.68	1.03	0.00376	0.0824	6837	ENSG00000216368	10118452	10119253	+	upstream	-283983	279796	NearestLocation	NA	NA
chr3	183199273	183200236	964	*	5.42	5.98	4.49	1.49	0.0038	0.083	5807	ENSG00000078081	183122213	183163839	-	upstream	-35434	35434	NearestLocation	LAMP3	27074
chr3	173500076	173501305	1230	*	5.09	5.87	3.26	2.61	0.00381	0.0832	4817	ENSG00000169760	173396284	174286644	+	inside	103792	103792	NearestLocation	NLGN1	22871
chr8	98044777	98045507	731	*	5.99	6.9	2.93	3.98	0.00388	0.0844	9317	ENSG00000156482	98024851	98046469	-	inside	1692	962	NearestLocation	RPL30	6156
chr1	77596767	77598638	1872	*	5.89	6.58	4.53	2.05	0.00392	0.0849	683	ENSG00000251785	77614869	77614952	+	upstream	-18102	16231	NearestLocation	NA	NA
chr3	170779988	170782963	2976	*	7.03	7.49	6.35	1.14	0.00392	0.0849	4441	ENSG00000239739	170740351	170741365	-	upstream	-38623	38623	NearestLocation	NA	NA
chr6	47744115	47746563	2449	*	6.92	7.3	6.41	0.88	0.00395	0.0854	7350	ENSG00000226594	47729827	47740741	-	upstream	-3374	3374	NearestLocation	NA	NA
chr3	171274120	171275236	1117	*	5.53	6.06	4.66	1.4	0.00396	0.0854	4523	ENSG00000222506	171439526	171439627	+	upstream	-165406	164290	NearestLocation	NA	NA
chr3	173504501	173505701	1201	*	5.92	6.43	5.11	1.33	0.00397	0.0854	4818	ENSG00000169760	173396284	174286644	+	inside	108217	108217	NearestLocation	NLGN1	22871
chr5	83925526	83926814	1289	*	5.69	6.22	4.82	1.41	0.00401	0.0861	6335	ENSG00000216125	83973796	83973886	-	downstream	48360	46982	NearestLocation	NA	NA
chr1	64774137	64774688	552	*	3.18	4.1	-0.16	4.27	0.00404	0.0865	460	ENSG00000162437	64745095	64833232	+	inside	29042	29042	NearestLocation	RAVER2	55225
chr10	89374121	89374831	711	*	7.14	7.53	6.61	0.92	0.00406	0.0868	1473	ENSG00000204010	89378056	89385205	+	upstream	-3935	3225	NearestLocation	IFIT1B	439996
chr2	75589711	75591220	1510	*	5.93	6.42	5.18	1.24	0.00409	0.0872	2774	ENSG00000230477	75598071	75598559	+	upstream	-8360	6851	NearestLocation	NA	NA
chr3	9140738	9142198	1461	*	6.92	7.33	6.35	0.97	0.0041	0.0872	3598	ENSG00000228723	9192493	9194453	+	upstream	-51755	50295	NearestLocation	SRGAP3-AS2	101927416
chr6	48245211	48246350	1140	*	5.51	6.04	4.66	1.39	0.00412	0.0874	7395	ENSG00000216835	48213604	48214794	-	upstream	-30417	30417	NearestLocation	NA	NA
chr3	174862132	174864381	2250	*	7.52	7.9	7.01	0.89	0.00413	0.0874	5019	ENSG00000230497	175059361	175060031	-	downstream	197899	194980	NearestLocation	NA	NA
chr3	182348534	182349296	763	*	4	4.87	1.52	3.35	0.00414	0.0875	5764	ENSG00000242012	182365147	182368256	+	upstream	-16613	15851	NearestLocation	NA	NA
chr3	178944403	178946700	2298	*	6.27	6.7	5.66	1.04	0.00416	0.0877	5563	ENSG00000237978	178526505	178860405	-	upstream	-83998	83998	NearestLocation	NA	NA
chr8	18280220	18281498	1279	*	6.11	6.57	5.44	1.13	0.00418	0.0879	9162	ENSG00000254015	18200924	18201205	-	upstream	-79015	79015	NearestLocation	NA	NA
chr7	31994158	31996547	2390	*	6.44	6.9	5.78	1.11	0.00424	0.0891	8052	ENSG00000236460	31941261	31941583	+	downstream	52897	52575	NearestLocation	NA	NA
chr7	31703340	31704945	1606	*	5.79	6.27	5.07	1.2	0.00425	0.0891	8026	ENSG00000106341	31686715	31708455	+	inside	16625	3510	NearestLocation	PPP1R17	10842
chr8	72636993	72638318	1326	*	5.68	6.2	4.87	1.33	0.00431	0.09	9300	ENSG00000253226	72618722	72619383	-	upstream	-17610	17610	NearestLocation	NA	NA
chr3	171841369	171842284	916	*	5.93	6.43	5.17	1.27	0.00431	0.09	4608	ENSG00000186329	171843349	171938715	+	upstream	-1980	1065	NearestLocation	TMEM212	389177
chr4	133490885	133492680	1796	*	5.13	5.93	3.2	2.73	0.00432	0.09	6188	ENSG00000221637	133560856	133560934	-	downstream	70049	68176	NearestLocation	NA	NA
chr3	173377819	173378485	667	*	5.75	6.4	4.52	1.88	0.00435	0.0904	4797	ENSG00000169760	173396284	174286644	+	upstream	-18465	17799	NearestLocation	NLGN1	22871
chr1	76250207	76252709	2503	*	6.37	6.85	5.65	1.2	0.00438	0.0907	657	ENSG00000223905	76353583	76354246	-	downstream	104039	100874	NearestLocation	NA	NA
chr3	173227162	173227891	730	*	4.41	5.24	2.27	2.97	0.00438	0.0907	4770	ENSG00000237473	173153737	173336965	+	inside	73425	73425	NearestLocation	NA	NA
chr1	63825520	63827874	2355	*	6	6.52	5.17	1.35	0.00443	0.0915	411	ENSG00000228056	63843196	63843685	-	downstream	18165	15322	NearestLocation	NA	NA
chr12	54280224	54282685	2462	*	5.07	5.69	3.99	1.7	0.00446	0.092	1890	ENSG00000135486	54280193	54287088	+	inside	31	31	NearestLocation	HNRNPA1	3178
chrUn_KI270590v1	318	2271	1954	*	4.07	5.03	-0.16	5.19	0.00452	0.093	9599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	173841440	173842297	858	*	4.92	5.71	3.07	2.64	0.00453	0.093	4867	ENSG00000228213	173910498	173920796	-	downstream	79356	68201	NearestLocation	NLGN1-AS1	100874010
chr3	115512850	115514585	1736	*	6.94	7.38	6.3	1.07	0.00455	0.0932	4122	ENSG00000277417	115424199	115424287	-	upstream	-88563	88563	NearestLocation	NA	NA
chr3	182609444	182611336	1893	*	6.94	7.3	6.45	0.86	0.00467	0.0955	5793	ENSG00000228766	182610674	182611414	+	overlapStart	-1230	78	NearestLocation	NA	NA
chr1	62279083	62279753	671	*	5.67	6.27	4.64	1.63	0.00473	0.0965	385	ENSG00000201153	62298149	62298256	-	downstream	19173	18396	NearestLocation	NA	NA
chr4	128342978	128344976	1999	*	5.76	6.28	4.94	1.34	0.00475	0.0966	6152	ENSG00000251432	128292751	128519394	+	inside	50227	50227	NearestLocation	LINC02615	100507487
chr10	6721461	6722449	989	*	5.81	6.29	5.08	1.22	0.00478	0.0971	1282	ENSG00000223784	6737382	6739026	+	upstream	-15921	14933	NearestLocation	NA	NA
chr7	134357879	134358418	540	*	5.42	5.95	4.55	1.4	0.0048	0.0971	9133	ENSG00000229177	134346071	134350791	-	upstream	-7088	7088	NearestLocation	NA	NA
